question,answer
"Trong năm 2007, Thành phố Hồ Chí Minh đã có bao nhiêu dự án mới được thu hút với vốn đầu tư là gần 3 tỷ USD?
-> không rõ ràng do thiếu chủ ngữ",400 dự án
Phần trăm dân số nói ngôn ngữ  đầu tiên không phải tiếng anh?,"11,3%"
Năm 2006 xảy ra vụ rơi máy bay thiệt mạng nhiều hơn năm 2005 bao nhiêu người,1 người.
"tổng giải thưởng tổ chức ở Babylon Casion Macau và ở Hà Nội – Việt Nam, ở đâu cao hơn",Babylon Casion Macau
"Trong ba buôn, buôn nào có diện tích tự nhiên lớn nhất?","Buôn Krang có diện tích tự nhiên lớn nhất với 2.270,04 ha"
Napoli thắng với tổng số bao nhiêu bàn thắng trong hai trận đấu đầu tiên của UEFA Europa League 2015-16?,10 bàn thắng
"Vào năm 1999, thu nhập trung bình cho một gia đình cao hơn thu nhập trung bình của một hộ gia đình ở thành phố là bao nhiêu?","$16,459"
"Vào năm 2009-2010, chênh lệch giữa thu nhập bình quân đầu người toàn quốc so với thu nhập bình quân đầu người hàng năm theo giá hiện tại là bao nhiêu rupee?",5.852 rupee
số lượng đơn vị nhà ở với mật độ trung bình 354 nhà/km² cao hay thấp hơn 400.000?,Thấp hơn 400.000
Tổng số bàn thắng Roma trong trận đấu với Gent và Košice nhiều hơn tổng số bàn thua bao nhiêu bàn?,"Tổng số bàn thắng của Roma trong trận đấu với Gent và Košice là 10 + 10 = 20 bàn. Tổng số bàn thua của Roma trong trận đấu với Gent và Košice là 2 + 4 = 6 bàn. Do đó, tổng số bàn thắng của Roma nhiều hơn tổng số bàn thua là 20 - 6 = 14 bàn."
"Số dân số người da trắng có nhiều hơn người Hispanic hay Latino không, và nếu có thì bao nhiêu lần?",Số dân số người da trắng nhiều hơn người Hispanic hay Latino 138 lần.
Bộ phim U-Prince Series được chia thành bao nhiêu phần?,Bộ phim U-Prince Series được chia thành 12 phần.
Xã nào có diện tích đất lớn nhất: xã Tiến Bộ hay xã Quý Quân?,Xã Tiến Bộ có diện tích đất lớn nhất.
Italy có bao nhiêu ca tử vong ít hơn Mỹ?,Italy có 78.532 - 30.201 = 48.331 ca tử vong ít hơn Mỹ.
Bao nhiêu phần trăm hộ gia đình không có trẻ em dưới 18 tuổi sống chung với họ?,"69,2%"
Federico Chaves Careaga đã chết ở tuổi bao nhiêu?,Federico Chaves Careaga đã chết ở tuổi 96.
Năm 2007 tăng thêm bao nhiêu tỉnh ở Nga có sự gia tăng dân số tự nhiên so với năm 2006?,2 tỉnh
"Nếu cần vận chuyển thêm 10 máy bay, tổng số máy bay trên Hiryū sẽ là bao nhiêu?",73 máy bay
Đĩa DVD nào được phát hành đầu tiên trong tất cả các season?,Đĩa DVD đầu tiên của season 1
Số người hâm mộ tham dự ở Buncheon có ít hơn số người hâm mộ ở Odaiba không?,Có
Khác biệt giữa tỉ lệ người da trắng và người da đen tại quận hạt là bao nhiêu phần trăm?,"80,09%"
Số nhân khẩu ở thị xã Vĩnh Châu là bao nhiêu theo nghị quyết?,163.918 nhân khẩu
"Giữa Drupal 7 và Drupal 8, phiên bản nào kết thúc bảo trì sớm hơn và sớm hơn bao lâu?",Drupal 8 kết thúc bảo trì sớm hơn Drupal 7 một năm.
"Theo kết quả điều tra dân số ngày 01/04/2009 tại Thành phố Hồ Chí Minh, chênh lệch giữa giới tính nam và nữ là bao nhiêu người?",3.727.130 - 3.435.734 = 291.396 người
Chênh lệch diện tích giữa nền phía trước và bệ giữa là bao nhiêu mét vuông?,Chênh lệch diện tích giữa nền phía trước và bệ giữa là 16 mét vuông.
Dân số nam hay nữ của quận nhiều hơn?,Dân số nam nhiều hơn dân số nữ
"Tỉ lệ đại biểu có mặt tán thành bầu bà Nguyễn Hương Giang giữ chức Chủ tịch UBND tỉnh Bắc Ninh cao hơn bao nhiêu so với tỉ lệ đại biểu có mặt tán thành bầu bà Nguyễn Hương Giang giữ chức Chủ tịch Hội đồng nhân dân tỉnh Bắc Ninh?_x000D_
_x000D_
",0%
"năm 2006, tỷ lệ phần trăm người Mỹ gốc phi là bao nhiêu?","Năm 2006, tỷ lệ phần trăm người Mỹ gốc Phi là 62,9%."
Số lượng đơn vị nhà ở vào năm 2000 nhiều hơn số lượng gia đình sống trong quận hạt bao nhiêu đơn vị?,Số lượng đơn vị nhà ở nhiều hơn số lượng gia đình sống trong quận hạt là 777 đơn vị.
Quốc gia nào là thị trường hàng đầu cho Toyota Prius Plug-in Hybrid tính đến tháng 4 năm 2016?,Hoa Kỳ
Xã nào có dân số thấp nhất huyện Hồng Dân năm 2020?,Xã Ninh Thạnh Lợi A
Số lượng đồng quarter đúc vào năm 2020 hơn số lượng đúc vào năm 2021 bao nhiêu?,Số lượng đồng quarter đúc vào năm 2020 hơn số lượng đúc vào năm 2021 là 600 triệu đồng xu.
"Trong số các xã được điều chỉnh về thành phố Mỹ Tho, xã nào có số nhân khẩu cao nhất?",Xã Bình Đức có số nhân khẩu cao nhất với 6.830 nhân khẩu.
Ai là người qua đời ở tuổi trẻ nhất?,Bá tước Oscar của Lippe-Biesterfeld
Hải quân Syria cuối năm 1973 có bao nhiêu tàu tên lửa?,Hải quân Syria cuối năm 1973 có 9 tàu tên lửa.
"So sánh tỷ lệ giữa những người dưới 18 tuổi và những người từ 18 đến 24 tuổi, nhóm nào có tỷ lệ cao hơn?","Những người dưới 18 tuổi có tỷ lệ cao hơn với 26,90% so với những người từ 18 đến 24 tuổi là 8,60%."
"Dân số của người Lào ở Ratanakiri so với dân số của người Việt, người chăm và người Hoa cộng lại thì cao hơn hay thấp hơn?",Cao hơn
Ai có khoảng cách gần nhất từ lần vô địch thứ nhì đến thứ ba?,Brazil
Ngày nào Trung Quốc ghi nhận ca tử vong đầu tiên sau 242 ngày?,Ngày 14/1/2021
"Năm 2007, Trung Phi xuất khẩu kim cương, gỗ, bông, cà phê, thuốc lá vào thị trường nào nhiều hơn, Bỉ hay Pháp?",Bỉ
"Đĩa đơn nào đã bán được nhiều hơn giữa ""Sayonara Crawl"" của AKB48 và ""White Love"" của nhóm Speed vào tháng 6/2013?",Sayonara Crawl
"Theo thống kê của tổng cục thống kê Việt Nam, tính đến ngày 1 tháng 4 năm 2009, dân tộc Hoa ít hơn dân tộc Kaho bao nhiêu người?",Dân tộc Hoa ít hơn dân tộc Kaho là 130.736 người.
Tổng tỷ lệ phần trăm của dân số dưới 18 tuổi và từ 65 tuổi trở lên là bao nhiêu?,"32,7% + 13,1% = 45,8%"
Tổng số trung đoàn pháo nòng dài và trung đoàn lựu pháo bao gồm bao nhiêu trung đoàn?,3 trung đoàn
"Tỷ suất chết thô, tỷ suất sinh thô và tỷ suất chết của trẻ em dưới 1 tuổi, tỉ lệ nào thấp nhất năm 2018?","Tỷ suất chết thô là 6,16‰ là thấp nhất trong 3 chỉ số trên."
Tỉ lệ người da trắng trong quận này là bao nhiêu phần trăm?,"49,53%"
"Tuổi thọ trung bình của nam so với nữ, giới nào cao hơn và cao hơn bao nhiêu năm?","Tuổi thọ trung bình của nữ cao hơn nam là 5,79 năm."
Số ca tử vong tại Nga đã tăng bao nhiêu so với hôm trước?,Số ca tử vong tại Nga đã tăng 98 ca so với hôm trước.
Sự chênh lệch giữa mức tăng giá trị sản xuất của ngành thủy sản và ngành dịch vụ là bao nhiêu tỷ đồng?,"Sự chênh lệch giữa mức tăng giá trị sản xuất của ngành thủy sản và ngành dịch vụ là 2,86 tỷ đồng"
Số xã của quận Château-Thierry ít hơn số xã của quận Laon bao nhiêu xã,155
Bao nhiêu phần trăm dân số của quận là người Mỹ bản xứ?,"0,53%"
Kongō đã sử dụng số quả đạn 355 mm (14 inch) hay số quả đạn 152 mm (6 inch) nhiều hơn,Kongō đã sử dụng số quả đạn 152 mm (6 inch) ít hơn số quả đạn 355 mm (14 inch)
Bài viết nào dài nhất theo số trang được đề cập?,"""Chiến lược và nguồn cung trong các chiến dịch xâm lược Tây Âu thế kỷ thứ mười bốn"""
"Năm 2018, khu vực nào trong kinh tế Quảng Ngãi có mức tăng trưởng tỉ lệ cao nhất?",Khu vực công nghiệp và xây dựng
Chuyến bay 771 của Afriqiyah Airways đã rơi khi đang hạ cánh tại sân bay quốc tế Tripoli vào ngày tháng năm nào?,Ngày 12 tháng 5 năm 2010
Giáo hoàng Gioan XXIII là người đã triệu tập Công đồng Vatican II trong năm nào?,1962
"Nếu giải đấu có 20 đội thi đấu, sau khi xác định được 2 đội xuống hạng thì còn bao nhiêu đội ở lại hạng hiện tại?",18
Số lượng thôn được nhập vào khu 16 nhiều hơn hay ít hơn so với số lượng quận thành phố thành lập chính phủ đầu tiên?,Số lượng thôn được nhập vào khu 16 ít hơn so với số lượng quận thành phố thành lập chính phủ đầu tiên.
Số điểm mà IGN đánh giá Metro 2033 chênh lệch bao nhiêu so với điểm tối đa?,3.1
Nghị quyết 16/21 được ban hành gần với quyết định 17/119 hơn so với Nghị quyết 5/1 so với quyết định 6/102 hay không?,Có
"Trong kỳ thi Học sinh Giỏi Đồng bằng sông Cửu Long, trường đã đạt bao nhiêu loại huy chương khác nhau?",3
Có bao nhiêu chiến dịch được tổ chức trong năm 1943?,2
Xã Khánh Hội hay xã Khánh Thuận có số người dân đông hơn,Xã Khánh Thuận có số người dân đông hơn
Thánh Giáo hoàng Gioan XXIII là giáo hoàng thứ mấy của Giáo hội Công giáo Rôma?,Thứ 261
"Trong số các Olympiad cờ vua mà Mai Hưng đã tham gia, cô đã giành được bao nhiêu huy chương?",Một huy chương.
Sự chênh lệch về số người giữa Phật giáo và Công giáo là bao nhiêu?,Sự chênh lệch về số người giữa Phật giáo và Công giáo là 135.873 người.
"Trong các phim được kể ở trên, phim nào được phát hành gần đây nhất?",Như Ý truyện
So sánh số lượng khu hành chính giữa làng Phú Cường và làng Z4.,"Làng Phú Cường có 2 khu hành chính, làng Z4 có 7 khu hành chính."
Số lượng quân dự bị trong mùa đông năm 1953 cao hơn hay thấp hơn so với số lượng quân địa phương vào tháng chạp năm 1954?,Thấp hơn
"So với các phiên bản Ki-61 được nêu, phiên bản nào tăng trọng lượng từ không tải đến tối đa nhiều nhất?",Phiên bản Ki-61-I căn bản
"Trong đoạn về không quân, có bao nhiêu sư đoàn và trung đoàn được đề cập?",11 sư đoàn và 15 trung đoàn
Có bao nhiêu phần trăm hộ gia đình được tạo ra từ các cá nhân?,"22,90%"
"Trong các sự cải tiến và nâng cấp của HTV7, sự kiện nào xảy ra gần nhất?",28/01/2016: Hầu hết các chương trình thể thao trên sóng HTV7 được chuyển sang kênh HTV Thể thao và HTV9.
"Trong tất cả các mốc thời gian được nêu, thời điểm nào có tỷ lệ người nghèo cao nhất?",Năm 1990 có tỷ lệ người nghèo cao nhất với hơn 60%.
Đĩa đơn nào của Ocean được phát hành đầu tiên?,Thinkin Bout You
Phần trăm dân số từ 45 đến 64 tuổi là bao nhiêu?,"26,00%"
Có bao nhiêu câu lạc bộ địa phương đã từng chơi các trận đấu tại sân này?,Có 4 câu lạc bộ địa phương đã từng chơi các trận đấu tại sân này.
"Cuối năm 1973, giả sử số tên lửa đạn đạo dùng cho cuộc chiến giảm đi 10 tổ hợp thì số lượng còn lại là bao nhiêu?",10
Tỉ lệ người từ 25-44 tuổi chênh lệch bao nhiêu so với người 45-64 tuổi?,"1,7%"
Tổng số lần nhận QĐ khen thưởng từ chủ tịch UBND tỉnh và chủ tịch nước từ năm 2012 đến 2014 là bao nhiêu lần?,6 lần
"Trong suốt năm 2015, Sony đã cập nhật số liệu bán ra PlayStation 4 bao nhiêu lần?",3 lần
"Trong số các sự kiện được đề cập, bao nhiêu sự kiện có liên quan đến những biến đổi chính trị hoặc xã hội?",Có 3 sự kiện có liên quan đến những biến đổi chính trị hoặc xã hội.
Có tổng cộng bao nhiêu loại mệnh giá khác nhau được lưu hành cho tiền Afghani từ năm 1925 đến 1993?,Có 19 loại mệnh giá tiền Afghani khác nhau được lưu hành từ năm 1925 đến 1993.
Sản lượng cá bạc má ở Bình Thuận năm 2005 có xu hướng thế nào so với năm 2003 và 2004?,Tăng dần
"Quãng đường từ Gyo-dong, Gimcheon-si, Gyeongsangbuk-do đến Bongsan-ri, Apo-eup dài bao nhiêu kilômét?","12,89km"
Có bao nhiêu sự kiện liên hoan phim đã ra mắt phần dành cho thiếu nhi như đã được đề cập trong đoạn văn?,1 sự kiện
"so sánh lương bình quân tháng trong năm 2000 và mức trung bình quốc gia, mức nào cao hơn",Mức trung bình quốc gia cao hơn
"Từ năm 2001 đến cuối năm 2009, dân số tỉnh Vidin đã giảm bao nhiêu người?",Dân số tỉnh Vidin đã giảm 21.997 người.
"Có bao nhiêu nhóm nguồn gốc quốc tịch (gốc Đức, gốc Hà Lan, và gốc Na Uy) được nhắc đến trong dữ liệu?",3
Italy ghi nhận thêm bao nhiêu ca tử vong?,Italy ghi nhận thêm 262 ca tử vong.
"Số người của các dân tộc ít người như Mông, Dao và Khơ Me cộng lại là bao nhiêu?","Số người của các dân tộc ít người như Mông, Dao và Khơ Me cộng lại là 6.415 người."
Có bao nhiêu tổ chức/ công ty được nhắc đến đã tổ chức các sự kiện công chiếu bộ phim?,Có 3 tổ chức/ công ty được nhắc đến đã tổ chức các sự kiện công chiếu bộ phim.
Số ca tử vong ở Ý có cao hơn tổng số ca tử vong tại Hồng Kông và Philippines cộng lại không?,Có
Cả Bicol và Camarines với đảo Catanduanes có bao nhiêu người?,86.640 người
"Năm 1998, tỷ lệ phần trăm dân số của Kreung có cao hơn tỷ lệ của người Lào không?",Có
Có bao nhiêu hộ gia đình sống tại Budapest theo cuộc thống kê năm 2011?,906.782 hộ gia đình
Khoảng thời gian từ khi Nashi được hạ thủy đến khi hoàn thành có dài hơn khoảng thời gian từ khi thoát chết đến khi bị đánh chìm không?,Không
Có bao nhiêu dự án liên quan đến phát triển tàu điện ngầm được hoàn thành trong khoảng thời gian từ tháng 4 đến tháng 12 năm 1999?,4 dự án
"Album ""World Of Our Own"" của Westlife được phát hành vào tháng mấy năm nào?","Album ""World Of Our Own"" của Westlife được phát hành vào tháng 9 năm 2001."
"Nếu một đội từ hạng A 2021 không phải là đội vô địch và được xếp hạng 3, họ sẽ bốc thăm với đội xếp hạng nào trong lễ bốc thăm thi đấu?",Đội xếp hạng 4
"Canon EOS 5D Mark IV có giá bán cao nhất ở khu vực nào giữa Mỹ, Anh và châu Âu?",Châu Âu
Có bao nhiêu dân tộc có số lượng người trên 100.000 người?,1 dân tộc
Số nhân viên y tế qua đời vì COVID-19 tại thời điểm báo cáo ngày 03/09 so với báo cáo ngày 13/07 cao hơn hay thấp hơn?,Cao hơn
Có bao nhiêu xã mới được tạo ra sau khi điều chỉnh?,"Có 3 xã mới được tạo ra sau khi điều chỉnh: Tân Thành A, Tân Thành B và Tân Phước."
"năm 2015, ước tính số người trên toàn cầu bị ảnh hưởng vượt 30 triệu hay không?","Năm 2015, ước tính số người trên toàn cầu bị ảnh hưởng vượt 30 triệu."
Thu ngân sách nhà nước 6 tháng đầu năm 2013 đã đạt bao nhiêu phần trăm so với dự toán ?,53%
Sự thay đổi về dân số của Quận Brive-la-Gaillarde từ năm 1990 đến năm 1999 là bao nhiêu người?,1.010 người
Hãng hàng không nào ngoài Hoa Kỳ đã khai thác loại máy bay 777-200?,Một số hãng hàng không Châu Á và British Airways
"Trong các quốc gia được đề cập, bao nhiêu quốc gia ghi nhận số ca nhiễm mới hơn 10.000 ca trong ngày?",1 quốc gia
Bao nhiêu người đã chết và bị thương trong vụ máy bay Mỹ ném bom xuống khu dân cư Thượng Lý (Hải Phòng) đêm 16-4-1972?,146 người
Tỷ lệ của người Mỹ bản xứ so với người châu Á trong quận này là bao nhiêu?,"Tỷ lệ người Mỹ bản xứ so với người châu Á là 0,91/0,53 = 1,72"
"Khi thành lập xã mới, xã nào có số nhân khẩu từ xã Thanh Lương cao nhất?",Xã Thanh Phú
Trận chung kết xếp hạng nam sẽ được diễn ra tại đâu vào năm 2022,Trận chung kết xếp hạng nam sẽ được diễn ra tại Ninh Bình vào năm 2022
Tổng công suất của các tổ máy tua bin khí đã lắp đặt tại Nhà máy điện Bà Rịa là bao nhiêu MW?,Tổng công suất của các tổ máy tua bin khí đã lắp đặt tại Nhà máy điện Bà Rịa là 225 MW.
Trong tháng 11 năm 2020 có bao nhiêu tập được phát hành?,Có 1 tập được phát hành trong tháng 11 năm 2020.
Có bao nhiêu hộ có trẻ em dưới 18 tuổi sống chung với họ?,"28,70%"
"Giữa tỷ lệ tăng giá trị xuất khẩu và tỷ lệ tăng thu ngân sách, đâu là tỷ lệ tăng cao nhất so với năm trước?",Tỷ lệ tăng giá trị xuất khẩu cao nhất so với năm trước.
Ông đã kết hôn với Pacencia Laurel vào năm bao nhiêu?,Năm 1911
"Đối với mức độ đạt chuẩn quốc gia, trường nào đạt tỷ lệ thấp nhất?",Trường mầm non
Chuyến bay đầu tiên ra giàn khoan Dan Queen diễn ra trước hay sau khi thành lập công ty dịch vụ trực thăng Việt Nam?,Chuyến bay đầu tiên ra giàn khoan Dan Queen diễn ra trước khi thành lập công ty dịch vụ trực thăng Việt Nam
Tàu Emma Maersk dài hơn bao nhiêu so với tàu loại Panamax?,"77,71 m"
"Diện tích tỉnh Gia Định năm 1965 rộng hơn năm 1966, đúng hay không",Đúng
"Dựa vào văn bản tham khảo, tổng số giống gia súc và gia cầm nội đang được chăn nuôi ở Việt Nam là bao nhiêu?","Tổng số giống gia súc và gia cầm nội đang được chăn nuôi ở Việt Nam là 14 giống lợn, 5 giống bò, 16 giống gà, 5 giống vịt, 3 giống ngan, 2 giống ngỗng, 2 giống dê, 2 giống trâu, 1 giống cừu, 2 giống thỏ, 2 giống ngựa."
Quy mô trung bình của một gia đình là bao nhiêu người?,"2,79 người"
"Theo điều tra dân số năm 2000, dân số người gốc Đức lớn hơn hay nhỏ hơn dân số người gốc Anh?",Dân số người gốc Đức lớn hơn dân số người gốc Anh.
Tỷ lệ thắng đạt bao nhiêu phần trăm?,"31,8%"
Điện mặt trời Vĩnh Tân 1 và Vĩnh Tân 2 có công suất lắp đặt tổng cộng là bao nhiêu?,"48,85 MW"
Sân vận động đã tổ chức bao nhiêu trận chung kết Siêu cúp Đức?,2 trận
Diện tích tự nhiên ban đầu của xã Thanh Lương và thị trấn An Lộc thiết lập cho xã An Phú lớn hơn hay nhỏ hơn so với xã Thanh Phú?,Diện tích tự nhiên ban đầu của xã Thanh Lương và thị trấn An Lộc thiết lập cho xã An Phú lớn hơn so với xã Thanh Phú.
Có bao nhiêu người được phong danh hiệu Thường tại trước khi tấn phong Quý nhân?,"Có 3 người được phong danh hiệu Thường tại trước khi tấn phong Quý nhân là Quách Quý nhân, Hải Quý nhân và Trương Quý nhân."
"Năm 2015, trữ lượng dầu ước tính của Venezuela có lớn hơn số lượng được báo cáo năm 2009 không?",Có
"Trong cả giải đấu, có bao nhiêu vòng thi đấu từ vòng 1 đến vòng chung kết - xếp hạng?",3 vòng
Ông đã theo học tại bao nhiêu cơ sở giáo dục hoặc đào tạo?,1
Có bao nhiêu phiên bản CF-100 có khả năng mang tên lửa không đối không AIM-7 Sparrow II?,2 phiên bản
"So sánh diện tích tự nhiên của xã Thới Sơn và xã Phước Thạnh, xã nào có diện tích lớn hơn?",Xã Thới Sơn có diện tích tự nhiên lớn hơn xã Phước Thạnh.
Có bao nhiêu chiếc MiG-29 của Đức đã bị phá hủy trong tai nạn?,1 chiếc
Tỉ số của trận chiến thắng cuối cùng mà Salah tham gia trong mùa giải này là bao nhiêu?,03-Feb
Maria Francisca Doroteia Josefa Antónia Gertrudes Rita Joana Efigénia sinh ngày tháng năm nào?,21 tháng 9 năm 1739
Số lượng tàu container được đang đặt thêm nhiều hơn số lượng tàu được đặt thêm ở Dalian Yard (Trung Quốc) là bao nhiêu?,28 tàu
"Tính đến năm 2017, kênh nào có lịch sử phát sóng lâu dài nhất?",TVB Finance
Lượng chất xơ trong Mỗi khẩu phần 100 gram Nam Phrik Num thấp hơn bao nhiêu so với 8 grams?,3.03 grams
"Theo điều tra dân số  năm 2000, mật độ dân số có cao hơn mật độ đơn vị nhà ở không?",Có
Có bao nhiêu quốc gia được nhắc đến trong kết quả cuộc thi?,5
"Nếu cộng tất cả các mệnh giá tiền giấy lại, tổng số tiền sẽ là bao nhiêu afghani?",2 + 5 + 10 + 20 + 50 + 100 + 500 + 1.000 + 5.000 + 10.000 = 16.687 afghani
Trung đoàn pháo tự hành chống tăng cận vệ 366 có số hiệu cao nhất trong số các trung đoàn pháo tự hành chống tăng cận vệ không?,Có
Tổng số nhân khẩu của xã Thái Bình và xã Tiến Bộ là bao nhiêu?,Tổng số nhân khẩu của xã Thái Bình và xã Tiến Bộ là 4.998 nhân khẩu
"Theo Thống kê Dân số Hoa Kỳ năm 2000, nếu tỉ lệ người da trắng giảm đi 5% thì số lượng còn lại bao nhiêu phần trăm ?
","67,93%"
Các tàu container mới đang được đặt có trọng tải cao nhất là bao nhiêu TEU so với tàu Emma Maersk?,3.500 TEU
Khi nào Serie A đã không thi đấu lại theo như dự kiến sau khi hoãn?,Ngày 3 tháng 4 năm 2020
Số lượng gia đình so với số lượng hộ trong quận năm 2000 như thế nào?,Số lượng gia đình ít hơn số lượng hộ.
Số lượng tiểu đoàn đặc công tham gia trong giai đoạn 2 (28/6/1972 đến 31/1/1973) so với giai đoạn 1 (30/3/1972 đến 27/6/1972)tăng lên bao nhiêu tiểu đoàn?,2 tiểu đoàn
Phiên bản kernel nào bắt đầu được phát hành theo lịch trình đều đặn cứ sau 2 tháng 3?,Các bản phát hành kernel ổn định 2.6
Dân tộc nào có số lượng người ít nhất?,"Dân tộc Lô Lô, Cơ Lao và Cống có số lượng người ít nhất với chỉ 1 người."
Christian Reiher giành được bao nhiêu điểm trong tổng số các kì IMO mà anh ấy tham gia?,Christian Reiher giành được 150 điểm trong tổng số các kì IMO mà anh ấy tham gia.
Có bao nhiêu tỷ lệ phần trăm dân số thuộc về người Hispanic hay Latino?,"12,88%"
"Ngoài Leicester, số ca nhiễm tại vùng East Midlands còn lại bao nhiêu?",16.800 ca
Số trận chung kết Cúp bóng đá Đức tổ chức ở sân này có nhiều hơn số trận vô địch giải đấu (cũ) hay không?,Có
"Tính từ 1983 đến 2007, có bao nhiêu quyết định quan trọng liên quan đến việc tái cấu trúc được ban hành?",2 quyết định quan trọng liên quan đến việc tái cấu trúc được ban hành
Chủng tộc nào chiếm tỷ lệ thấp nhất trong dân số?,Chủng tộc nào chiếm tỷ lệ thấp nhất trong dân số là người Mỹ gốc Phi
Thí sinh có điểm trung bình là 6.75 sau khi được làm tròn sẽ có điểm là bao nhiêu?,7
"Nhóm nào có số người nhiều nhất: 2 cơ Tả trung bộ và Hữu trung bộ, 4 đội Tiền thủy, Hậu thủy, Tả thủy, Hữu thủy, hay 8 cơ Tả nội bộ, Hữu nội bộ, Tiền nội bộ, Hậu nội bộ, Tả súng, Hữu súng, Tiền súng, Hậu súng?",Cơ Tiền trung bộ
Có bao nhiêu tỉnh thành ở Việt Nam có tốc độ tăng trưởng GRDP chậm hơn Đắk Nông năm 2021?,6 tỉnh thành
"Trong 24 giờ qua, có bao nhiêu quốc gia ghi nhận số ca tử vong mới dưới 500 ca?",ERROR
"Từ ngày 1 tháng 10 năm 1941 tới ngày 31 tháng 5 năm 1945, bao nhiêu toa xe trần đã được cung cấp cho Liên Xô?",9.920 toa xe trần đã được cung cấp cho Liên Xô.
"Từ tháng 4 đến tháng 12 năm 1999, có bao nhiêu tháng là điểm thời gian mà các sự kiện quan trọng của tuyến đường sắt/tàu điện ngầm được ghi nhận?",4
Tính tỷ lệ tăng trưởng của sản lượng cá bạc má ở Bình Thuận từ năm 2003 đến năm 2005.,"Tỷ lệ tăng trưởng của sản lượng cá bạc má ở Bình Thuận từ năm 2003 đến năm 2005 là: (17,6 - 7,8) / 7,8 = 125,64%"
Tổng diện tích công viên được chỉnh trang là bao nhiêu mét vuông?,18.600 m²
Có bao nhiêu khu vực mà tỷ lệ đàn cừu chiếm hơn 20% trong tổng số đàn cừu trên thế giới?,Có 2 khu vực có tỷ lệ đàn cừu chiếm hơn 20% trong tổng số đàn cừu trên thế giới là châu Á và châu Phi.
