id,question,choices,answer,A,B,C,D,answer_pred,correct
28,Thói quen nào sau đây có thể giúp bạn có một giấc ngủ ngon hơn?,"{'A': 'Sử dụng điện thoại trên giường trước khi ngủ', 'B': 'Uống cà phê vào buổi tối', 'C': 'Tạo một không gian ngủ yên tĩnh, tối và mát mẻ', 'D': 'Ăn một bữa no ngay trước khi đi ngủ'}",C,Sử dụng điện thoại trên giường trước khi ngủ,Uống cà phê vào buổi tối,"Tạo một không gian ngủ yên tĩnh, tối và mát mẻ",Ăn một bữa no ngay trước khi đi ngủ,A,0
29,Vitamin C có nhiều trong loại thực phẩm nào?,"{'A': 'Thịt bò', 'B': 'Trứng', 'C': 'Cam, chanh, ổi', 'D': 'Sữa'}",C,Thịt bò,Trứng,"Cam, chanh, ổi",Sữa,C,1
30,Tập thể dục thường xuyên mang lại lợi ích gì cho sức khỏe tinh thần?,"{'A': 'Giảm căng thẳng, lo âu', 'B': 'Cải thiện tâm trạng', 'C': 'Tăng cường sự tự tin', 'D': 'Tất cả các đáp án trên'}",D,"Giảm căng thẳng, lo âu",Cải thiện tâm trạng,Tăng cường sự tự tin,Tất cả các đáp án trên,D,1
31,Bệnh béo phì làm tăng nguy cơ mắc các bệnh nào sau đây?,"{'A': 'Bệnh tim mạch', 'B': 'Tiểu đường type 2', 'C': 'Một số loại ung thư', 'D': 'Tất cả các đáp án trên'}",D,Bệnh tim mạch,Tiểu đường type 2,Một số loại ung thư,Tất cả các đáp án trên,D,1
32,"Khi một người bị co giật, bạn không nên làm gì?","{'A': 'Di chuyển các vật sắc nhọn, cứng ra xa nạn nhân', 'B': 'Kê một vật mềm (áo, gối) dưới đầu nạn nhân', 'C': 'Cố gắng giữ chặt tay chân của nạn nhân', 'D': 'Nới lỏng quần áo chật quanh cổ nạn nhân'}",C,"Di chuyển các vật sắc nhọn, cứng ra xa nạn nhân","Kê một vật mềm (áo, gối) dưới đầu nạn nhân",Cố gắng giữ chặt tay chân của nạn nhân,Nới lỏng quần áo chật quanh cổ nạn nhân,C,1
33,Việc khám sức khỏe định kỳ có ý nghĩa gì?,"{'A': 'Chỉ cần thiết khi bạn cảm thấy bị bệnh', 'B': 'Giúp phát hiện sớm các vấn đề sức khỏe tiềm ẩn', 'C': 'Tốn kém và không cần thiết nếu bạn cảm thấy khỏe mạnh', 'D': 'Chỉ dành cho người cao tuổi'}",B,Chỉ cần thiết khi bạn cảm thấy bị bệnh,Giúp phát hiện sớm các vấn đề sức khỏe tiềm ẩn,Tốn kém và không cần thiết nếu bạn cảm thấy khỏe mạnh,Chỉ dành cho người cao tuổi,B,1
34,Đâu là một dấu hiệu của tình trạng mất nước?,"{'A': 'Nước tiểu trong hoặc màu vàng nhạt', 'B': 'Cảm thấy khát', 'C': 'Đi tiểu thường xuyên', 'D': 'Da ẩm'}",B,Nước tiểu trong hoặc màu vàng nhạt,Cảm thấy khát,Đi tiểu thường xuyên,Da ẩm,A,0
35,Chất béo nào được coi là 'chất béo tốt' cho sức khỏe?,"{'A': 'Chất béo bão hòa (saturated fat)', 'B': 'Chất béo chuyển hóa (trans fat)', 'C': 'Chất béo không bão hòa (unsaturated fat)', 'D': 'Cholesterol'}",C,Chất béo bão hòa (saturated fat),Chất béo chuyển hóa (trans fat),Chất béo không bão hòa (unsaturated fat),Cholesterol,C,1
36,Việc bỏ bữa sáng có thể dẫn đến hậu quả gì?,"{'A': 'Giúp giảm cân hiệu quả', 'B': 'Tăng khả năng tập trung vào buổi sáng', 'C': 'Có thể gây mệt mỏi, giảm khả năng tập trung và tăng nguy cơ ăn nhiều hơn vào các bữa sau', 'D': 'Không ảnh hưởng gì đến sức khỏe'}",C,Giúp giảm cân hiệu quả,Tăng khả năng tập trung vào buổi sáng,"Có thể gây mệt mỏi, giảm khả năng tập trung và tăng nguy cơ ăn nhiều hơn vào các bữa sau",Không ảnh hưởng gì đến sức khỏe,B,0
37,"Kỹ thuật RICE (Nghỉ ngơi, Chườm đá, Băng ép, Nâng cao) được sử dụng để sơ cứu chấn thương nào?","{'A': 'Bỏng', 'B': 'Bong gân, căng cơ', 'C': 'Ngộ độc thực phẩm', 'D': 'Say nắng'}",B,Bỏng,"Bong gân, căng cơ",Ngộ độc thực phẩm,Say nắng,C,0
38,Tại sao việc tiêm phòng (chủng ngừa) lại quan trọng?,"{'A': 'Giúp cơ thể tạo ra kháng thể để chống lại các bệnh truyền nhiễm cụ thể', 'B': 'Chỉ cần thiết cho trẻ sơ sinh', 'C': 'Có thể gây ra nhiều tác dụng phụ nguy hiểm hơn là lợi ích', 'D': 'Chỉ dành cho những người có hệ miễn dịch yếu'}",A,Giúp cơ thể tạo ra kháng thể để chống lại các bệnh truyền nhiễm cụ thể,Chỉ cần thiết cho trẻ sơ sinh,Có thể gây ra nhiều tác dụng phụ nguy hiểm hơn là lợi ích,Chỉ dành cho những người có hệ miễn dịch yếu,A,1
39,Thói quen ăn mặn (nhiều muối) có thể dẫn đến nguy cơ sức khỏe nào?,"{'A': 'Hạ huyết áp', 'B': 'Cao huyết áp và các bệnh tim mạch', 'C': 'Bệnh tiểu đường', 'D': 'Bệnh loãng xương'}",B,Hạ huyết áp,Cao huyết áp và các bệnh tim mạch,Bệnh tiểu đường,Bệnh loãng xương,C,0
40,Đâu không phải là một phương pháp hiệu quả để quản lý căng thẳng?,"{'A': 'Tập thể dục', 'B': 'Thiền hoặc tập hít thở sâu', 'C': 'Lạm dụng rượu bia hoặc chất kích thích', 'D': 'Dành thời gian với bạn bè, gia đình'}",C,Tập thể dục,Thiền hoặc tập hít thở sâu,Lạm dụng rượu bia hoặc chất kích thích,"Dành thời gian với bạn bè, gia đình",C,1
41,Vitamin D còn được gọi là 'vitamin ánh nắng' vì sao?,"{'A': 'Vì nó có màu vàng như ánh nắng', 'B': 'Vì nó chỉ có trong các loại trái cây mùa hè', 'C': 'Vì cơ thể có thể tự tổng hợp vitamin D khi da tiếp xúc với ánh nắng mặt trời', 'D': 'Vì nó giúp mắt sáng hơn dưới ánh nắng'}",C,Vì nó có màu vàng như ánh nắng,Vì nó chỉ có trong các loại trái cây mùa hè,Vì cơ thể có thể tự tổng hợp vitamin D khi da tiếp xúc với ánh nắng mặt trời,Vì nó giúp mắt sáng hơn dưới ánh nắng,C,1
42,Thời gian tối thiểu để rửa tay hiệu quả bằng xà phòng là bao lâu?,"{'A': '5 giây', 'B': '10 giây', 'C': '20 giây', 'D': '1 phút'}",C,5 giây,10 giây,20 giây,1 phút,B,0
43,Bệnh Gout (Gút) có liên quan đến sự tích tụ của chất nào trong cơ thể?,"{'A': 'Axit Uric', 'B': 'Cholesterol', 'C': 'Canxi', 'D': 'Glucose'}",A,Axit Uric,Cholesterol,Canxi,Glucose,A,1
44,Đâu là một trong những dấu hiệu cảnh báo sớm của đột quỵ?,"{'A': 'Đột ngột tê hoặc yếu ở mặt, tay hoặc chân, đặc biệt là ở một bên của cơ thể', 'B': 'Đau đầu dữ dội không rõ nguyên nhân', 'C': 'Khó nói hoặc khó hiểu lời nói', 'D': 'Tất cả các đáp án trên'}",D,"Đột ngột tê hoặc yếu ở mặt, tay hoặc chân, đặc biệt là ở một bên của cơ thể",Đau đầu dữ dội không rõ nguyên nhân,Khó nói hoặc khó hiểu lời nói,Tất cả các đáp án trên,B,0
45,Ăn nhiều đồ ngọt và thực phẩm chế biến sẵn có thể dẫn đến nguy cơ nào?,"{'A': 'Tăng cân, béo phì', 'B': 'Sâu răng', 'C': 'Tăng nguy cơ mắc bệnh tiểu đường type 2', 'D': 'Tất cả các đáp án trên'}",D,"Tăng cân, béo phì",Sâu răng,Tăng nguy cơ mắc bệnh tiểu đường type 2,Tất cả các đáp án trên,C,0
46,Tư thế ngồi làm việc đúng giúp phòng tránh vấn đề sức khỏe nào?,"{'A': 'Đau mỏi cổ, vai, gáy và lưng', 'B': 'Bệnh tim mạch', 'C': 'Bệnh tiểu đường', 'D': 'Bệnh về đường hô hấp'}",A,"Đau mỏi cổ, vai, gáy và lưng",Bệnh tim mạch,Bệnh tiểu đường,Bệnh về đường hô hấp,C,0
47,Sử dụng tai nghe với âm lượng lớn trong thời gian dài có thể gây ra hậu quả gì?,"{'A': 'Cải thiện khả năng nghe', 'B': 'Gây tổn thương thính lực không hồi phục', 'C': 'Giúp tập trung tốt hơn', 'D': 'Không có ảnh hưởng gì'}",B,Cải thiện khả năng nghe,Gây tổn thương thính lực không hồi phục,Giúp tập trung tốt hơn,Không có ảnh hưởng gì,B,1
48,Biện pháp tránh thai nào sau đây giúp phòng ngừa các bệnh lây truyền qua đường tình dục (STIs)?,"{'A': 'Thuốc uống tránh thai hàng ngày', 'B': 'Vòng tránh thai', 'C': 'Bao cao su', 'D': 'Que cấy tránh thai'}",C,Thuốc uống tránh thai hàng ngày,Vòng tránh thai,Bao cao su,Que cấy tránh thai,A,0
49,Nguyên nhân chính gây ra bệnh sâu răng là gì?,"{'A': 'Uống quá nhiều nước lạnh', 'B': 'Vi khuẩn trong mảng bám trên răng chuyển hóa đường thành axit, làm mòn men răng', 'C': 'Đánh răng quá mạnh', 'D': 'Thiếu vitamin C'}",B,Uống quá nhiều nước lạnh,"Vi khuẩn trong mảng bám trên răng chuyển hóa đường thành axit, làm mòn men răng",Đánh răng quá mạnh,Thiếu vitamin C,B,1
50,Hội chứng ruột kích thích (IBS) là một rối loạn ảnh hưởng đến cơ quan nào?,"{'A': 'Dạ dày', 'B': 'Gan', 'C': 'Ruột già (đại tràng)', 'D': 'Phổi'}",C,Dạ dày,Gan,Ruột già (đại tràng),Phổi,C,1
51,Chất chống oxy hóa (antioxidants) có lợi ích gì cho sức khỏe?,"{'A': 'Cung cấp năng lượng tức thì', 'B': 'Giúp bảo vệ tế bào khỏi tổn thương do các gốc tự do gây ra', 'C': 'Giúp tăng cân', 'D': 'Giúp cơ thể hấp thụ canxi'}",B,Cung cấp năng lượng tức thì,Giúp bảo vệ tế bào khỏi tổn thương do các gốc tự do gây ra,Giúp tăng cân,Giúp cơ thể hấp thụ canxi,B,1
52,Tập các bài tập khởi động trước khi chơi thể thao có tác dụng gì?,"{'A': 'Làm cho cơ thể mệt mỏi nhanh hơn', 'B': 'Giúp tăng tính linh hoạt của cơ bắp và giảm nguy cơ chấn thương', 'C': 'Không có tác dụng gì đặc biệt', 'D': 'Chỉ cần thiết cho các vận động viên chuyên nghiệp'}",B,Làm cho cơ thể mệt mỏi nhanh hơn,Giúp tăng tính linh hoạt của cơ bắp và giảm nguy cơ chấn thương,Không có tác dụng gì đặc biệt,Chỉ cần thiết cho các vận động viên chuyên nghiệp,C,0
53,Bệnh thủy đậu do loại virus nào gây ra?,"{'A': 'Virus cúm (Influenza virus)', 'B': 'Virus Varicella-Zoster', 'C': 'Virus Dengue', 'D': 'Virus HIV'}",B,Virus cúm (Influenza virus),Virus Varicella-Zoster,Virus Dengue,Virus HIV,D,0
54,"Để đảm bảo an toàn thực phẩm, bạn nên làm gì?","{'A': 'Rửa tay sạch trước khi chế biến thức ăn', 'B': 'Nấu chín kỹ thức ăn', 'C': 'Bảo quản thực phẩm ở nhiệt độ thích hợp', 'D': 'Tất cả các đáp án trên'}",D,Rửa tay sạch trước khi chế biến thức ăn,Nấu chín kỹ thức ăn,Bảo quản thực phẩm ở nhiệt độ thích hợp,Tất cả các đáp án trên,C,0
55,"Khi bị ong đốt, sau khi đã lấy ngòi ong ra (nếu có), bạn nên làm gì tiếp theo?","{'A': 'Nặn máu ra khỏi vết đốt', 'B': 'Rửa sạch vùng bị đốt bằng xà phòng và nước, sau đó chườm lạnh', 'C': 'Bôi vôi hoặc bùn đất lên vết đốt', 'D': 'Băng kín vết đốt lại ngay lập tức'}",B,Nặn máu ra khỏi vết đốt,"Rửa sạch vùng bị đốt bằng xà phòng và nước, sau đó chườm lạnh",Bôi vôi hoặc bùn đất lên vết đốt,Băng kín vết đốt lại ngay lập tức,A,0
56,Tình trạng thiếu I-ốt có thể dẫn đến bệnh gì?,"{'A': 'Bệnh tim', 'B': 'Bệnh bướu cổ', 'C': 'Bệnh tiểu đường', 'D': 'Bệnh loãng xương'}",B,Bệnh tim,Bệnh bướu cổ,Bệnh tiểu đường,Bệnh loãng xương,C,0
57,Omega-3 là một loại axit béo có nhiều trong thực phẩm nào?,"{'A': 'Thịt gà', 'B': 'Các loại cá béo (cá hồi, cá thu, cá trích)', 'C': 'Gạo trắng', 'D': 'Táo'}",B,Thịt gà,"Các loại cá béo (cá hồi, cá thu, cá trích)",Gạo trắng,Táo,B,1
58,Đâu là một biểu hiện của chứng rối loạn lo âu?,"{'A': 'Cảm giác lo lắng, sợ hãi quá mức và khó kiểm soát', 'B': 'Cảm thấy thư giãn và bình tĩnh', 'C': 'Luôn cảm thấy vui vẻ, lạc quan', 'D': 'Ngủ rất ngon và sâu giấc'}",A,"Cảm giác lo lắng, sợ hãi quá mức và khó kiểm soát",Cảm thấy thư giãn và bình tĩnh,"Luôn cảm thấy vui vẻ, lạc quan",Ngủ rất ngon và sâu giấc,C,0
59,Tuổi vị thành niên là giai đoạn chuyển tiếp giữa?,"{'A': 'Sơ sinh và thiếu nhi', 'B': 'Thiếu nhi và trưởng thành', 'C': 'Trưởng thành và người cao tuổi', 'D': 'Sơ sinh và trưởng thành'}",B,Sơ sinh và thiếu nhi,Thiếu nhi và trưởng thành,Trưởng thành và người cao tuổi,Sơ sinh và trưởng thành,C,0
60,Tác hại của việc sử dụng đồ uống có cồn đối với thanh thiếu niên là gì?,"{'A': 'Ảnh hưởng đến sự phát triển của não bộ', 'B': 'Tăng nguy cơ tai nạn giao thông và hành vi nguy hiểm', 'C': 'Có thể dẫn đến nghiện rượu', 'D': 'Tất cả các đáp án trên'}",D,Ảnh hưởng đến sự phát triển của não bộ,Tăng nguy cơ tai nạn giao thông và hành vi nguy hiểm,Có thể dẫn đến nghiện rượu,Tất cả các đáp án trên,B,0
61,Kali là một khoáng chất quan trọng giúp duy trì chức năng gì của cơ thể?,"{'A': 'Cân bằng chất lỏng và chức năng thần kinh', 'B': 'Xây dựng xương chắc khỏe', 'C': 'Tạo hồng cầu', 'D': 'Tăng cường thị lực'}",A,Cân bằng chất lỏng và chức năng thần kinh,Xây dựng xương chắc khỏe,Tạo hồng cầu,Tăng cường thị lực,A,1
62,Đâu là triệu chứng phổ biến của bệnh cảm lạnh thông thường?,"{'A': 'Sổ mũi, nghẹt mũi', 'B': 'Đau họng', 'C': 'Ho', 'D': 'Tất cả các đáp án trên'}",D,"Sổ mũi, nghẹt mũi",Đau họng,Ho,Tất cả các đáp án trên,D,1
63,"Nguyên tắc 'ăn chín, uống sôi' giúp phòng ngừa bệnh nào?","{'A': 'Các bệnh lây qua đường tiêu hóa như tả, lỵ, thương hàn', 'B': 'Các bệnh về tim mạch', 'C': 'Các bệnh về hô hấp', 'D': 'Bệnh ung thư'}",A,"Các bệnh lây qua đường tiêu hóa như tả, lỵ, thương hàn",Các bệnh về tim mạch,Các bệnh về hô hấp,Bệnh ung thư,A,1
64,Kỹ thuật ép tim ngoài lồng ngực trong hồi sức tim phổi (CPR) được thực hiện ở vị trí nào?,"{'A': 'Bên trái lồng ngực, ngay trên tim', 'B': 'Chính giữa xương ức', 'C': 'Bên phải lồng ngực', 'D': 'Vùng bụng trên'}",B,"Bên trái lồng ngực, ngay trên tim",Chính giữa xương ức,Bên phải lồng ngực,Vùng bụng trên,A,0
65,Tại sao không nên tự ý sử dụng thuốc kháng sinh khi không có chỉ định của bác sĩ?,"{'A': 'Vì có thể gây ra tình trạng kháng kháng sinh', 'B': 'Vì thuốc kháng sinh chỉ có tác dụng với nhiễm khuẩn, không có tác dụng với virus', 'C': 'Vì có thể gặp các tác dụng phụ không mong muốn', 'D': 'Tất cả các đáp án trên'}",D,Vì có thể gây ra tình trạng kháng kháng sinh,"Vì thuốc kháng sinh chỉ có tác dụng với nhiễm khuẩn, không có tác dụng với virus",Vì có thể gặp các tác dụng phụ không mong muốn,Tất cả các đáp án trên,B,0
66,Chỉ số khối cơ thể (BMI) được sử dụng để làm gì?,"{'A': 'Đo lường trí thông minh', 'B': 'Đánh giá tình trạng cân nặng (gầy, bình thường, thừa cân, béo phì) của một người', 'C': 'Đo huyết áp', 'D': 'Xác định nhóm máu'}",B,Đo lường trí thông minh,"Đánh giá tình trạng cân nặng (gầy, bình thường, thừa cân, béo phì) của một người",Đo huyết áp,Xác định nhóm máu,B,1
67,Việc giữ gìn vệ sinh cá nhân sạch sẽ có vai trò gì?,"{'A': 'Phòng ngừa các bệnh ngoài da và bệnh truyền nhiễm', 'B': 'Giúp cơ thể thoải mái, tự tin', 'C': 'Tạo ấn tượng tốt với người xung quanh', 'D': 'Tất cả các đáp án trên'}",D,Phòng ngừa các bệnh ngoài da và bệnh truyền nhiễm,"Giúp cơ thể thoải mái, tự tin",Tạo ấn tượng tốt với người xung quanh,Tất cả các đáp án trên,B,0
68,Bệnh sốt rét lây truyền từ người sang người qua vật trung gian nào?,"{'A': 'Chuột', 'B': 'Ruồi', 'C': 'Muỗi Anopheles', 'D': 'Ve'}",C,Chuột,Ruồi,Muỗi Anopheles,Ve,B,0
69,Đâu là một phương pháp giúp cải thiện và duy trì trí nhớ tốt?,"{'A': 'Ngủ đủ giấc', 'B': 'Tham gia các hoạt động thử thách trí não như đọc sách, chơi cờ', 'C': 'Tập thể dục đều đặn', 'D': 'Tất cả các đáp án trên'}",D,Ngủ đủ giấc,"Tham gia các hoạt động thử thách trí não như đọc sách, chơi cờ",Tập thể dục đều đặn,Tất cả các đáp án trên,B,0
